power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components,avg_min_distance_jammers
0.0,16.679508889414684,Pass,1000,975,25,29,971,924,True,1,{'Component_1': 971},16.679508889414684
0.0,8.922165820160892,Fail,1000,937,63,72,928,810,True,5,"{'Component_1': 89, 'Component_2': 2, 'Component_3': 282, 'Component_4': 463, 'Component_5': 92}",8.922165820160892
0.0,7.671883048414334,Fail,1000,909,91,108,892,726,True,11,"{'Component_1': 86, 'Component_2': 2, 'Component_3': 264, 'Component_4': 2, 'Component_5': 3, 'Component_6': 86, 'Component_7': 2, 'Component_8': 90, 'Component_9': 187, 'Component_10': 84, 'Component_11': 86}",7.671883048414334
0.0,7.129234922032592,Fail,1000,888,112,133,867,663,True,16,"{'Component_1': 82, 'Component_2': 2, 'Component_3': 254, 'Component_4': 2, 'Component_5': 3, 'Component_6': 2, 'Component_7': 85, 'Component_8': 2, 'Component_9': 89, 'Component_10': 86, 'Component_11': 2, 'Component_12': 93, 'Component_13': 83, 'Component_14': 77, 'Component_15': 3, 'Component_16': 2}",7.129234922032592
0.0,7.105664337328091,Fail,1000,869,131,158,842,606,True,21,"{'Component_1': 76, 'Component_2': 2, 'Component_3': 2, 'Component_4': 82, 'Component_5': 79, 'Component_6': 2, 'Component_7': 2, 'Component_8': 84, 'Component_9': 3, 'Component_10': 2, 'Component_11': 80, 'Component_12': 2, 'Component_13': 2, 'Component_14': 89, 'Component_15': 84, 'Component_16': 2, 'Component_17': 92, 'Component_18': 82, 'Component_19': 70, 'Component_20': 3, 'Component_21': 2}",7.105664337328091
0.0,18.763867311827656,Pass,1000,975,25,32,968,924,True,1,{'Component_1': 968},18.763867311827656
0.1,15.577227089694068,Fail,1000,976,24,63,937,927,True,2,"{'Component_1': 83, 'Component_2': 854}",15.577227089694068
0.1,12.542198955460407,Fail,1000,962,38,97,903,885,True,2,"{'Component_1': 79, 'Component_2': 824}",12.542198955460407
0.1,11.233632021417447,Fail,1000,952,48,121,879,855,True,5,"{'Component_1': 77, 'Component_2': 718, 'Component_3': 5, 'Component_4': 77, 'Component_5': 2}",11.233632021417447
0.1,10.341725940785246,Fail,1000,945,55,141,859,834,True,5,"{'Component_1': 74, 'Component_2': 701, 'Component_3': 5, 'Component_4': 77, 'Component_5': 2}",10.341725940785246
0.1,9.801024224712693,Fail,1000,936,64,164,836,807,True,8,"{'Component_1': 74, 'Component_2': 67, 'Component_3': 5, 'Component_4': 276, 'Component_5': 315, 'Component_6': 21, 'Component_7': 76, 'Component_8': 2}",9.801024224712693
0.2,18.335659706729952,Pass,1000,978,22,57,943,933,True,1,{'Component_1': 943},18.335659706729952
0.2,10.230358780541852,Fail,1000,935,65,171,829,804,True,7,"{'Component_1': 67, 'Component_2': 265, 'Component_3': 84, 'Component_4': 173, 'Component_5': 83, 'Component_6': 88, 'Component_7': 69}",10.230358780541852
0.2,8.634611314571291,Fail,1000,910,90,241,759,729,True,16,"{'Component_1': 6, 'Component_2': 2, 'Component_3': 37, 'Component_4': 14, 'Component_5': 169, 'Component_6': 2, 'Component_7': 78, 'Component_8': 76, 'Component_9': 81, 'Component_10': 79, 'Component_11': 3, 'Component_12': 74, 'Component_13': 81, 'Component_14': 26, 'Component_15': 4, 'Component_16': 27}",8.634611314571291
